index,Title,Time,Url,label,Body,summary,Location,latitude,longitude
6,2.2 magnitude earthquake reported near Sparta,2020-09-23 14:34 UTC,https://myfox8.com/news/2-2-magnitude-earthquake-reported-near-sparta/,0,"FOX8 WGHP Please enter a search term. Please enter a search term.       SPARTA, N.C. ?€? Sparta felt another earthquake more than a month after an earthquake led to hundreds of cases of damage in the town.   The damage left behind after a 5.1 magnitude earthquake struck Sparta on Aug. 9 was worse than initially thought, according to the Town of Sparta.  ?€?We are hearing continuous rumbles throughout our community here in town and in Alleghany County, but we thank the Good Lord to this day that there have been no injuries or fatalities,?€? Mayor Wes Brinegar said during a Tuesday news conference. While damage assessments are still ongoing, the Town of Sparta had received about 525 reports of damage as of the close of business Monday, Emergency Management Director Daniel Shoffner said. 60 of these cases have been categorized as ?€?major damage,?€? meaning they lost 40% or more in value. ?€?We underestimated the damage and that was the number one thing. We were looking for major damage in our initial reports, but now, it?€?s coming out more and more with damage more widespread and severe,?€? Brinegar said. Brinegar said many of the people living in Sparta, especially those in the older population, are dealing with the emotional trauma that comes with having a natural disaster. And having 20 aftershocks since the earthquake hasn?€?t helped. ?€?We?€?re still getting those aftershocks and those loud booms periodically. A lot of people are on edge right now and a lot of people have those issues because they?€?re paranoid right now,?€? Brinegar said. The Estep sisters didn?€?t return back to even look at the damage until Tuesday ?€? more than a week after the quake. They own three side-by-side properties that have all been deemed unlivable. ?€?Our parents were here first and all total 54 years,?€? Mary Estep said. In those 54 years, a lot of memories have been made there. ?€?All the Christmas?€? all the holidays, birthday, Thanksgiving was here,?€? Mary Estep said. In a matter of seconds, everything changed. ?€?All of a sudden it was like a bomb went off. Everything was flying and shaking, and it was terrifying. Only thing I was thinking was, ?€?I got to get her out of the kitchen,?€??€? Mary Estep said. As the quake shook photos, books and home d??cor off the walls and shelves, she was in the living room frantically trying to get to her sister Alice Estep. ?€?She was yelling ?€?get out, get out.?€? And I was saying ?€?I?€?m right here, I?€?m right here,?€??€? Alice Estep said. Hanging on to one another, the two women made it to the door only to find that it was blocked from the outside. A neighbor was able to get them out. They own these two homes and the apartments in the middle. All three properties are beyond repair. ?€?This is a loss completely to us. We just don?€?t know where to turn, or what to do,?€? Alice Estep said. While it?€?s going to take months for some people, cleanup efforts have begun for those who?€?ve documented their damages. The emergency management report for damage assessment has been sent to state officials. ?€?We are very much relying on state and federal officials to help put the people in this county,?€? said Daniel Roten, Alleghany County Emergency Management coordinator. He?€?s hopeful the county will get some money to assist individuals in this time of need. ?€?As its been mentioned before, no one here had earthquake insurance ?€? maybe a handful. I can count them on one hand,?€? Roten said. Unfortunately, with every tragedy, Brinegar said it seems like there?€?s someone trying to profit off of it. He said scammers are creating GoFundMe pages asking people to donate. The Red Cross is now housing 19 people from 10 families. The city doesn?€?t have an official GoFundMe for the victims. Brinegar said all assistance will go through the American Red Cross and they do have a fund called ?€?Sparta Alleghany County North Carolina Earthquake.?€? Shoffner says the school system did sustain some damage during the earthquake. The school system has taken the necessary steps to ensure the safety of students and faculty.  The area felt eight tremors before the earthquake, as well as 20 aftershocks. The 5.1 earthquake centered in Sparta was felt across North Carolina.  Many who felt the earthquake said it lasted 10-15 seconds. The 5.1 magnitude earthquake in Sparta was the strongest earthquake to happen in North Carolina since 1916. Yup, that sure was what you thought you felt.Please do not call 911 simply to report the #earthquake. Only call if you need assistance.  By far the largest quake in North Carolina since a M 5.2 in 1916. #Earthquake pic.twitter.com/J3yuTrdSq5 Developing?€? 
Submit 


 ?? Copyright 2023 Nexstar Media Inc. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed.  Our expert shares tips for effectively and efficiently cleaning kids?€? bedrooms and her top picks for products that help make children?€?s items cleaner and safer. Living an environmentally friendly lifestyle can be difficult when you can?€?t tell if a product is really green. Learn more here about how to avoid greenwashing. You should spend some time finding the perfect guinea pig cage and making sure it?€?s appropriate for your pets. Thanks for signing up! Watch for us in your inbox. Subscribe Now","FOX8 WGHP Please enter a search term.
Please enter a search term.
Brinegar said many of the people living in Sparta, especially those in the older population, are dealing with the emotional trauma that comes with having a natural disaster.
The Estep sisters didn?€?t return back to even look at the damage until Tuesday ?€? more than a week after the quake.
They own three side-by-side properties that have all been deemed unlivable.
?€?Our parents were here first and all total 54 years,?€? Mary Estep said.
All three properties are beyond repair.
We just don?€?t know where to turn, or what to do,?€? Alice Estep said.
?€?We are very much relying on state and federal officials to help put the people in this county,?€? said Daniel Roten, Alleghany County Emergency Management coordinator.
I can count them on one hand,?€? Roten said.
Brinegar said all assistance will go through the American Red Cross and they do have a fund called ?€?Sparta Alleghany County North Carolina Earthquake.?€? Shoffner says the school system did sustain some damage during the earthquake.
Living an environmentally friendly lifestyle can be difficult when you can?€?t tell if a product is really green.",Sparta,43.9377,-90.8131
16,2.2 magnitude earthquake reported near Sparta,2020-09-23 14:34 UTC,https://myfox8.com/news/2-2-magnitude-earthquake-reported-near-sparta/,0,"FOX8 WGHP Please enter a search term. Please enter a search term.       SPARTA, N.C. ?€? Sparta felt another earthquake more than a month after an earthquake led to hundreds of cases of damage in the town.   The damage left behind after a 5.1 magnitude earthquake struck Sparta on Aug. 9 was worse than initially thought, according to the Town of Sparta.  ?€?We are hearing continuous rumbles throughout our community here in town and in Alleghany County, but we thank the Good Lord to this day that there have been no injuries or fatalities,?€? Mayor Wes Brinegar said during a Tuesday news conference. While damage assessments are still ongoing, the Town of Sparta had received about 525 reports of damage as of the close of business Monday, Emergency Management Director Daniel Shoffner said. 60 of these cases have been categorized as ?€?major damage,?€? meaning they lost 40% or more in value. ?€?We underestimated the damage and that was the number one thing. We were looking for major damage in our initial reports, but now, it?€?s coming out more and more with damage more widespread and severe,?€? Brinegar said. Brinegar said many of the people living in Sparta, especially those in the older population, are dealing with the emotional trauma that comes with having a natural disaster. And having 20 aftershocks since the earthquake hasn?€?t helped. ?€?We?€?re still getting those aftershocks and those loud booms periodically. A lot of people are on edge right now and a lot of people have those issues because they?€?re paranoid right now,?€? Brinegar said. The Estep sisters didn?€?t return back to even look at the damage until Tuesday ?€? more than a week after the quake. They own three side-by-side properties that have all been deemed unlivable. ?€?Our parents were here first and all total 54 years,?€? Mary Estep said. In those 54 years, a lot of memories have been made there. ?€?All the Christmas?€? all the holidays, birthday, Thanksgiving was here,?€? Mary Estep said. In a matter of seconds, everything changed. ?€?All of a sudden it was like a bomb went off. Everything was flying and shaking, and it was terrifying. Only thing I was thinking was, ?€?I got to get her out of the kitchen,?€??€? Mary Estep said. As the quake shook photos, books and home d??cor off the walls and shelves, she was in the living room frantically trying to get to her sister Alice Estep. ?€?She was yelling ?€?get out, get out.?€? And I was saying ?€?I?€?m right here, I?€?m right here,?€??€? Alice Estep said. Hanging on to one another, the two women made it to the door only to find that it was blocked from the outside. A neighbor was able to get them out. They own these two homes and the apartments in the middle. All three properties are beyond repair. ?€?This is a loss completely to us. We just don?€?t know where to turn, or what to do,?€? Alice Estep said. While it?€?s going to take months for some people, cleanup efforts have begun for those who?€?ve documented their damages. The emergency management report for damage assessment has been sent to state officials. ?€?We are very much relying on state and federal officials to help put the people in this county,?€? said Daniel Roten, Alleghany County Emergency Management coordinator. He?€?s hopeful the county will get some money to assist individuals in this time of need. ?€?As its been mentioned before, no one here had earthquake insurance ?€? maybe a handful. I can count them on one hand,?€? Roten said. Unfortunately, with every tragedy, Brinegar said it seems like there?€?s someone trying to profit off of it. He said scammers are creating GoFundMe pages asking people to donate. The Red Cross is now housing 19 people from 10 families. The city doesn?€?t have an official GoFundMe for the victims. Brinegar said all assistance will go through the American Red Cross and they do have a fund called ?€?Sparta Alleghany County North Carolina Earthquake.?€? Shoffner says the school system did sustain some damage during the earthquake. The school system has taken the necessary steps to ensure the safety of students and faculty.  The area felt eight tremors before the earthquake, as well as 20 aftershocks. The 5.1 earthquake centered in Sparta was felt across North Carolina.  Many who felt the earthquake said it lasted 10-15 seconds. The 5.1 magnitude earthquake in Sparta was the strongest earthquake to happen in North Carolina since 1916. Yup, that sure was what you thought you felt.Please do not call 911 simply to report the #earthquake. Only call if you need assistance.  By far the largest quake in North Carolina since a M 5.2 in 1916. #Earthquake pic.twitter.com/J3yuTrdSq5 Developing?€? 
Submit 


 ?? Copyright 2023 Nexstar Media Inc. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed.  Our expert shares tips for effectively and efficiently cleaning kids?€? bedrooms and her top picks for products that help make children?€?s items cleaner and safer. Living an environmentally friendly lifestyle can be difficult when you can?€?t tell if a product is really green. Learn more here about how to avoid greenwashing. You should spend some time finding the perfect guinea pig cage and making sure it?€?s appropriate for your pets. Thanks for signing up! Watch for us in your inbox. Subscribe Now","FOX8 WGHP Please enter a search term.
Please enter a search term.
Brinegar said many of the people living in Sparta, especially those in the older population, are dealing with the emotional trauma that comes with having a natural disaster.
The Estep sisters didn?€?t return back to even look at the damage until Tuesday ?€? more than a week after the quake.
They own three side-by-side properties that have all been deemed unlivable.
?€?Our parents were here first and all total 54 years,?€? Mary Estep said.
All three properties are beyond repair.
We just don?€?t know where to turn, or what to do,?€? Alice Estep said.
?€?We are very much relying on state and federal officials to help put the people in this county,?€? said Daniel Roten, Alleghany County Emergency Management coordinator.
I can count them on one hand,?€? Roten said.
Brinegar said all assistance will go through the American Red Cross and they do have a fund called ?€?Sparta Alleghany County North Carolina Earthquake.?€? Shoffner says the school system did sustain some damage during the earthquake.
Living an environmentally friendly lifestyle can be difficult when you can?€?t tell if a product is really green.",Sparta,43.9377,-90.8131
21,"Earthquake on Sunday brought 'much excitement, but little impact' to Rhode Island",2020-11-10 02:00 UTC,https://www.thewesterlysun.com/news/westerly/earthquake-on-sunday-brought-much-excitement-but-little-impact-to-rhode-island/article_89fb00c4-22ce-11eb-bd80-037d0e96e48a.html,1," Rain showers early will evolve into a more steady rain overnight. Low 51F. Winds ESE at 10 to 20 mph. Chance of rain 90%. Rainfall near an inch.    This ShakeMap, issued by the United States Geological Survey, shows the intensity and extent of Sunday?€?s earthquake throughout southern New England. Generated by the USGS regional seismic network, the ShakeMap provides real time maps of ground-shaking and earthquake intensity.?? Residents of southern New England were surprised Sunday morning by rumbling and shaking caused by an earthquake on the north shore of Buzzard?€?s Bay, about 30 miles east of Providence.??  John Geiger, a geophysicist at the U.S. Geological Survey?€?s National Earthquake Information Center in Golden, Colorado, said the earthquake occurred on the Massachusetts coast, about 6.2 miles below the surface. Too small to cause any significant damage but powerful enough to shake homes and rattle windows, the quake was first classified as a magnitude 4, but was later downgraded to a 3.6. Geiger explained that 3.6 was the average magnitude recorded by seismometers. ?€?Basically, we?€?ll look and see and sometimes, it?€?s hundreds of stations and we?€?ll pick where the onset is for the quake for each of those individual stations and each one has its own magnitude and it?€?s calculated by the different types of [seismic] waves that it sees,?€? he said. ?€?Sometimes, a particular station may have a much higher magnitude than another station and those are outliers.?€? As soon Sunday?€?s quake subsided, the calls started coming in to local police and other emergency responders. ?€?I couldn?€?t tell you how many, but we received numerous calls right after, wondering what was going on, what happened, what was the shaking,?€? Westerly Police Chief Shawn Lacey said. ?€?We were probably alerted within two minutes of the earthquake, through our database, that there was actually an earthquake.?€? ?€?The general public was calling into police dispatch,?€? Charlestown EMA Director Kevin Gallup said. ?€?I called down there and they said the phones were blowing up ?€? It was pretty much a much a high excitement, low impact event.?€? In Hopkinton, EMA Director Ron MacDonald III was in church when the quake began. ?€?I heard about 10 to 15 seconds of rumbling,?€? he said. ?€?I thought it was a military plane or something going overhead. When I was just leaving church, I was getting text messages from all the local emergency managers saying that they thought it was an earthquake. I put out a social media message to my Facebook page explaining what it was.?€? In Richmond, EMA Director Joseph Arsenault urged residents to make sure there had been no damage to their homes. ?€?The most important thing people want to do it they want to make sure that their house is stable,?€? he said. ?€?If the house seems to be compromised, make sure you don?€?t have electricity going. You want to make sure the gas is shut off.?€? The experience brought back bad memories for Arsenault?€?s daughter, Kayleigh Hill, who had returned to Rhode Island after living in Anchorage, Alaska, where powerful earthquakes are more common. In Nov. 2018, Hill found herself trying to drive to work during a 7.2 magnitude earthquake, as the road crumbled around her car. Sunday's quake, she said, reminded her of the aftershocks that followed the one in Anchorage. ?€?There were thousands of aftershocks after that 7.2 earthquake, so as soon as you feel it or hear it, you know what it is and you?€?re like, ?€?oh no, another one,?€??€? she said. ""So it?€?s just kind of like an automatic reaction. As soon as I heard the rumble and the house creaking I was like ?€?oh, this is an earthquake. Why are we having an earthquake here? This is Rhode Island.?€??€? The epicenter of the quake was on the North American plate, one of many plates, or rock slabs, that cover the planet. Plate tectonics refers to the movements of those plates along cracks known as faults, and it is those movements that produce earthquakes. There is no documented fault where Sunday?€?s earthquake occurred, but Geiger said it is likely that an ancient fault exists. ?€?I was looking at it on our map, and I don?€?t see any fault map,?€? he said. ?€?That doesn?€?t mean there?€?s not a fault there, because if there was an earthquake, then by definition, it was on a fault.?? But we don?€?t have any detailed information on the faults over there.?€? Compared to states like California and Alaska, southern New England is not a seismically-active region, but powerful earthquakes have been recorded here for centuries. A 6.5 magnitude earthquake, probably originating in New Hampshire, occurred in 1638, just 18 years after the Pilgrims had landed at Plymouth Rock.??  ?€?It came with a rumbling noise or low murmur, like unto remote thunder,?€? he wrote. ?€?It came from the northward and passed southward; as the noise approached nearer, the earth began to shake and came at length with that violence as caused platters, dishes and suchlike things as stood upon shelves, to clatter and fall down. Yea, persons were afraid of the houses themselves.?€? More big earthquakes followed, a 5.6 in 1727, a 6.5 in 1755, a 5.2 in 1884 and a 5.9 in 1904. Several notable earthquakes have been recorded in the 20th and 21st centuries. Earth is a dynamic planet, Geiger said, and as tectonic plates shift, no matter where they are, sometimes they produce earthquakes. ?€?There are a lot of stresses underneath the surface of the earth and sometimes, that stress is released in the form of earthquakes,?€? he said. cdrummond@thewesterlysun.com @cynthiadrummon4      Keep it Clean. Please avoid obscene, vulgar, lewd,
racist or sexually-oriented language.
PLEASE TURN OFF YOUR CAPS LOCK.
Don't Threaten. Threats of harming another
person will not be tolerated.
Be Truthful. Don't knowingly lie about anyone
or anything.
Be Nice. No racism, sexism or any sort of -ism
that is degrading to another person.
Be Proactive. Use the 'Report' link on
each comment to let us know of abusive posts.
Share with Us. We'd love to hear eyewitness
accounts, the history behind an article.
  100 Main Street, Westerly, RI 02891 + 401-348-1000 circulation@ricentral.com news@thewesterlysun.com classified@thewesterlysun.com  Advertise with us","Rain showers early will evolve into a more steady rain overnight.
Low 51F.
Chance of rain 90%.
?€?We were probably alerted within two minutes of the earthquake, through our database, that there was actually an earthquake.?€? ?€?The general public was calling into police dispatch,?€? Charlestown EMA Director Kevin Gallup said.
?€?I called down there and they said the phones were blowing up ?€? It was pretty much a much a high excitement, low impact event.?€? In Hopkinton, EMA Director Ron MacDonald III was in church when the quake began.
?€?I heard about 10 to 15 seconds of rumbling,?€? he said.
?€?There were thousands of aftershocks after that 7.2 earthquake, so as soon as you feel it or hear it, you know what it is and you?€?re like, ?€?oh no, another one,?€??€? she said.
But we don?€?t have any detailed information on the faults over there.?€? Compared to states like California and Alaska, southern New England is not a seismically-active region, but powerful earthquakes have been recorded here for centuries.
?€?It came with a rumbling noise or low murmur, like unto remote thunder,?€? he wrote.
Yea, persons were afraid of the houses themselves.?€? More big earthquakes followed, a 5.6 in 1727, a 6.5 in 1755, a 5.2 in 1884 and a 5.9 in 1904.
cdrummond@thewesterlysun.com @cynthiadrummon4      Keep it Clean.
100 Main Street, Westerly, RI 02891 + 401-348-1000 circulation@ricentral.com news@thewesterlysun.com classified@thewesterlysun.com  Advertise with us",Hopkinton,42.3428,-91.249
22,"Earthquake in Massachusetts felt in Connecticut, Long Island",2020-11-08 16:27 UTC,https://abc7ny.com/earthquake-in-massachusetts-felt-in-connecticut-long-island/7767420/,1,"WATCH LIVE Meteorologist Jeff Smith has more on the earthquake. CONNECTICUT (WABC) -- A 4.0 magnitude earthquake hit Massachusetts Sunday morning, rattling homes -- and residents -- in Connecticut and on Eastern Long Island.   Many took to Twitter to report their homes shaking, with the United States Geological Survey reporting the following shakemap. At this point, there are no reports of any damage or injuries.  ---------- * More Connecticut news * Send us a news tip * Download the abc7NY app for breaking news alerts  * Follow us on YouTube  Submit a News Tip  Simone Biles, Jonathan Owens tie the knot Police search for gunman in Bronx shooting that left teen injured  Man accused of murdering brother, disposing of body","Many took to Twitter to report their homes shaking, with the United States Geological Survey reporting the following shakemap.",Long Island,39.9462,-99.534
23,From the Archives: ABC7's Peabody Award winning coverage of 1989 Loma Prieta earthquake,2020-10-17 15:58 UTC,https://abc7news.com/the-first-few-hours-abc7s-coverage-of-1989-loma-prieta-earthquake/7105611/,1,"WATCH LIVE ABC7 News reporter Leslie Brinkley stands at the edge of a collapsed section of the San Francisco Bay Bridge after the Loma Prieta earthquake in 1989. SAN FRANCISCO  (KGO) -- ABC7 News Anchor Cheryl Jennings looks back at the dramatic early hours of the 1989 Loma Prieta earthquake as both residents and reporters were just beginning to realize the magnitude of what had happened.  Jennings was at a makeshift anchor desk in a badly damaged newsroom as the chilling scenes of disaster began to appear. The earthquake hit Northern California on Oct. 17, 1989, killing 63 people and causing billions of dollars in damage.  It struck just after 5 pm, right as a World Series game between the San Francisco Giants and the Oakland Athletics was about to start. The shaking lasted for 15 seconds.  When it was over many parts of the Bay Area had lost power and phone service.  Most TV and radio stations were knocked off the air, but ABC7 was uniquely positioned to get the story to the Bay Area and the rest of the world.  Just a few minutes after the earthquake hit, ABC7 used its emergency generator to become the first television station back on the air. The ABC network was broadcasting the World Series from Candlestick Park in San Francisco and had a blimp overhead.  So the blimp was sent to get the first live video of a huge fire that was engulfing the city's Marina District. ABC7's helicopter got dramatic early shots of collapsed sections of the Cypress Freeway in Oakland and the Bay Bridge.  ABC News reporter Leslie Brinkley and photographer John Griffin had just crossed the bridge on the way to another story when the quake hit.  They were the only television crew able to get on the bridge to capture the dramatic rescue of people trapped in cars dangling over the edge of the collapsed section. Throughout the disaster, the station broadcasted continuous information about avoiding dangers with gas and electrical lines, how to survive aftershocks, and, in what proved to be surprisingly valuable advice, how to find emergency information in the telephone book. The station became a clearinghouse for information as a service to other news providers and area residents. ABC7 also helped the relief effort, doing major fundraising for the Red Cross and Salvation Army, and distributing survival information. For outstanding service to its community during a time of crisis, ABC7 received the prestigious Peabody Award. Take a look at ABC7's in-depth coverage of the Loma Prieta earthquake here.  Google 'committed' to massive complex in downtown San Jose Bay Area mom accused in teen party scandal called a 'predator' Thieves hit fire-damaged SF apartment 2 days in a row","WATCH LIVE ABC7 News reporter Leslie Brinkley stands at the edge of a collapsed section of the San Francisco Bay Bridge after the Loma Prieta earthquake in 1989.
SAN FRANCISCO  (KGO) -- ABC7 News Anchor Cheryl Jennings looks back at the dramatic early hours of the 1989 Loma Prieta earthquake as both residents and reporters were just beginning to realize the magnitude of what had happened.
Most TV and radio stations were knocked off the air, but ABC7 was uniquely positioned to get the story to the Bay Area and the rest of the world.
Just a few minutes after the earthquake hit, ABC7 used its emergency generator to become the first television station back on the air.",San Francisco,37.7558,-122.4449
24,Alleghany County experiences 2.6 magnitude earthquake,2020-10-01 22:07 UTC,https://www.wxii12.com/article/sparta-26-magnitude-earthquake/34241518,1,"The latest breaking updates, delivered straight to your email inbox.  A 2.6 magnitude earthquake was reported by the U.S. Geological Survey in Alleghany County Thursday.  Click the video player above for more information about the earthquake. In the past two weeks, there have been three other earthquakes with a magnitude higher than 2.0 in the area, according to the USGS. Sparta is the location where a historic 5.1 magnitude earthquake hit on Aug. 9. Geologists, researchers and North Carolina Gov. Roy Cooper spent time in Sparta after the earthquake to assess the damage. Hearst Television participates in various affiliate marketing programs, which means we may get paid commissions on editorially chosen products purchased through our links to retailer sites.",Sparta is the location where a historic 5.1 magnitude earthquake hit on Aug. 9.,Sparta,43.9377,-90.8131
25,Google Builds Largest Earthquake Detection System With Your Phone,2020-09-25 04:00 UTC,https://www.forbes.com/sites/bernardmarr/2020/09/25/google-builds-largest-earthquake-detection-system-with-your-phone/,0,"If you carry around an Android smartphone, did you know it can be part of the world's largest earthquake detection system? Thanks to a collaboration between Google, the United States Geological Survey (USGS), and the California Governor's Office of Emergency Services (Cal OES), the concept is being vetted as a cost-effective alternative to creating a public infrastructure to detect and alert the public to an earthquake in their area. Google Builds Largest Earthquake Detection System With Your Phone Why an Android Phone-Powered Earthquake Alert System? Earthquakes are a daily occurrence around the world. The earlier the millions of people who live in an earthquake-prone region get notified of a quake (before things begin to shake) so they can drop and take cover, the safer they will be. However, traditional earthquake alert systems are costly to build and deploy. Since all smartphones have little accelerometers in them?€?a device that detects rotation?€?Google thought that we might be walking around with a solution to an earthquake detection system. Turns out their hunch was right on target, and smartphones can expand their influence to become life-saving emergency notification devices. Tested by Android Device Owners in California Google and collaborators first deployed the Android platform as an earthquake alert system in California. By working with the USGS and Cal OES, Google used the ShakeAlert system to send earthquake alerts. The ShakeAlert system was developed by the country?€?s leading seismologists. It receives signals from more than 700 seismometers located across the state. While California was able to have this infrastructure in place, many other earthquake-prone areas in the world are not. But the large Android network around the world with millions of smartphones acting as individual seismometers could fill in the gap. If an individual phone's accelerometer detects something it thinks could be an earthquake, it sends the signal to Google servers. Then, algorithms go to work, combining that data with info from other smartphones to figure out if an earthquake is actually happening. For this to be effective, the system is racing the speed of light (essentially the speed of phone data) against the speed of an earthquake. If an earthquake is detected, the system will be able to share accurate information about the extent of the earthquake quickly to those who might face danger because of it. Google is currently testing the system and cautiously rolling out future phases as it builds confidence in the system?€?s reliability. Eventually, the plans are to deploy it in areas that don?€?t have traditional seismic-monitoring systems. Android Phones Can Detect Both Types of Earthquake Waves There are two different types of earthquake waves, and the Android phones can detect both. The primary wave or P wave is the fastest and first wave sent out when there's an earthquake. It's followed by a secondary wave or S wave that might be slower but usually bigger and causes more destruction to more people. If the Android system can give early warnings out when the P wave is detected, it could help minimize the damage when the S wave comes through. As anonymized data starts coming to Google's servers, Bayesian filters and other machine learning algorithms get to work to determine if what the phones are reporting is an actual seismic event. If so, warning alerts go out. Phones nearest to the quake?€?s epicenter will have less warning than those further afield; however, they can play a critical role in helping safeguard those that will experience the larger secondary wave. Google works with seismologists to figure out the appropriate alerts for different levels of earthquakes. When time is of the essence, the alerts must convey critical information concisely. Once Google has refined its earthquake alert system, it does plan to release an API. This paves the way for developers to take the framework built by Google and create solutions for a lot of important use cases that could make living with quakes easier. Imagine if there were systems built to shut off gas valves, transportation management systems such as traffic lights could be manipulated to keep people away from danger and more through future development. For now, Google is focused on refining its system to reduce the number of false positives. Google is including this capability as part of Google Mobile Services, which makes it accessible for most Android phones used today. ","Thanks to a collaboration between Google, the United States Geological Survey (USGS), and the California Governor's Office of Emergency Services (Cal OES), the concept is being vetted as a cost-effective alternative to creating a public infrastructure to detect and alert the public to an earthquake in their area.
Google Builds Largest Earthquake Detection System With Your Phone Why an Android Phone-Powered Earthquake Alert System?
Tested by Android Device Owners in California Google and collaborators first deployed the Android platform as an earthquake alert system in California.
By working with the USGS and Cal OES, Google used the ShakeAlert system to send earthquake alerts.
If an individual phone's accelerometer detects something it thinks could be an earthquake, it sends the signal to Google servers.
Google works with seismologists to figure out the appropriate alerts for different levels of earthquakes.",California,38.2969,-76.4949
27,"3.1 magnitude earthquake reported in Monmouth County, N.J.",2020-09-09 21:14 UTC,https://6abc.com/31-magnitude-earthquake-hits-freehold-new-jersey/6415086/,1,"WATCH LIVE No injuries or major damage have been reported from a 3.1 magnitude earthquake. EAST FREEHOLD, N.J. (WPVI) -- No injuries or major damage have been reported from a 3.1 magnitude earthquake felt in Freehold, New Jersey on Wednesday morning. But the tremors were enough to wake people in the middle of the night, flooding the Monmouth County 911 Center with calls. In surveillance video outside the center, you can just barely see the camera shake during the quake, which began around 2 a.m., but people near the epicenter definitely felt it. ""My husband thought it was a gas main explosion or something like that,"" said Jennifer Gerstenberg of Freehold.  ""When I woke up, my friend called me and said that she felt an earthquake and stuff fell off of her shelf,"" said sixth-grade Sarah Gerstenberg. ""Our operators actually in our 911 center located just across the way has experienced what they describe as a jet engine kind of explosion,"" said Monmouth County Sheriff Shaun Golden. Within 30 minutes of the 3.1 magnitude earthquake, the Monmouth County 911 Center received around 125 calls.  ""I heard something,"" said one worried caller. ""Like your house shook? Yeah. So did half the state I guess,"" answered the dispatcher.  Some were asking if an explosion had happened.  ""Our whole building just shook. And a big boom happened,"" one caller said. ""Just get yourself into a safe place, OK? We're not sure what it was, but we do have officers out investigating the area, OK?"" the dispatcher replied. Researchers at Princeton University are spent the day looking at data collected from campus, 30 miles from the epicenter.  ""This is just part of the normal process of the earth's cycle of plate tectonics. The slow building up stress and a sudden release of elastic energy,"" said Frederik Simons, professor of seismology at Princeton University. He said these small earthquakes are normal, we just don't feel them very often. ""Feeling one in New Jersey is extremely rare,"" said Simons. Professor Simons estimated this earthquake could be felt within a radius of 30-50 miles from Freehold. The earthquake, although small, is also relatively uncommon in the region. A 2.7 earthquake was reported in Bernardsville, New Jersey in 2015. The Greater Delaware Valley region felt tremors after a 4.1 magnitude quake struck near Dover, Delaware back in December 2017. And on Aug 23, 2011, a 5.8 magnitude earthquake in central Virginia shook buildings in the tri-state area. Nonprofit organizes Food Truck Festival in Philadelphia 76ers finish sweep of Nets without Embiid in 96-88 win Woman's body found in rubble two days after fire in SW Philadelphia","(WPVI) -- No injuries or major damage have been reported from a 3.1 magnitude earthquake felt in Freehold, New Jersey on Wednesday morning.
""When I woke up, my friend called me and said that she felt an earthquake and stuff fell off of her shelf,"" said sixth-grade Sarah Gerstenberg.
Within 30 minutes of the 3.1 magnitude earthquake, the Monmouth County 911 Center received around 125 calls.
He said these small earthquakes are normal, we just don't feel them very often.
And on Aug 23, 2011, a 5.8 magnitude earthquake in central Virginia shook buildings in the tri-state area.",Virginia,47.5168,-92.5127
52,Did you feel that? Earthquake strikes off Massachusetts coast and is felt in parts of NH,2020-11-08 16:01 UTC,https://www.wmur.com/article/earthquake-strikes-massachusetts-november-8-2020/34610473,1,"The latest breaking updates, delivered straight to your email inbox.  The rumble with a 3.6 magnitude was centered on Buzzards Bay, southwest of Bliss Corner in Dartmouth, the USGS said, and struck at a depth of a little more than 15 kilometers (9.3 miles). Initially, the USGS report indicated the magnitude of the earthquake may have been as high as 4.2. That was later revised downward to 4.0, and then again to 3.6.  Residents of southern New Hampshire, Rhode Island and Connecticut have also reported feeling the earthquake. The Red Cross of Massachusetts told WCVB that three New Bedford homes in the area of Crapo and Nelson streets had to be evacuated due to structural damage caused by the earthquake. As a result, 10 families totaling 22 people have been displaced.  According to USGS records, the last time New England saw an earthquake this strong was on Oct. 16, 2012, when a 4.5 magnitude earthquake struck near Saco, Maine.  Hearst Television participates in various affiliate marketing programs, which means we may get paid commissions on editorially chosen products purchased through our links to retailer sites.","According to USGS records, the last time New England saw an earthquake this strong was on Oct. 16, 2012, when a 4.5 magnitude earthquake struck near Saco, Maine.",Saco,43.539,-70.4624
53,"4.0 earthquake hits Massachusetts, rattles parts of Connecticut, New York",2020-11-08 15:44 UTC,https://abc7news.com/40-earthquake-hits-massachusetts/7768475/,1,"WATCH LIVE Meteorologist Jeff Smith has more on the earthquake. BLISS CORNER, Mass. -- A 4.0 magnitude earthquake hit Massachusetts Sunday morning, rattling homes -- and residents -- in parts of Connecticut and Long Island.   Many took to Twitter to report their homes shaking, with the United States Geological Survey reporting the following shakemap. At this point, there are no reports of any damage or injuries.  Google 'committed' to massive complex in downtown San Jose Bay Area mom accused in teen party scandal called a 'predator' Thieves hit fire-damaged SF apartment 2 days in a row","-- A 4.0 magnitude earthquake hit Massachusetts Sunday morning, rattling homes -- and residents -- in parts of Connecticut and Long Island.",New York,40.6943,-73.9249
