Title,Time,Url,Body
Sparta continues to feel tremors after 5.1 magnitude earthquake felt across North Carolina,2020-08-11 12:17 UTC,https://myfox8.com/news/sparta-continues-to-feel-tremors-after-5-1-magnitude-earthquake-felt-across-north-carolina/,"FOX8 WGHP Please enter a search term. Please enter a search term.       SPARTA, N.C. — Sparta felt a third 2.2 magnitude tremor Tuesday morning, days after a 5.1 magnitude earthquake. The mayor of Sparta, Wes Brinegar, issued a state of emergency on Sunday after a 5.1. earthquake that was felt across North Carolina rattled the town on Sunday. No injuries have been reported.   After the earthquake, the USGS reports that another three tremors at 2.2 magnitude hit the area.    Leading up to the 5.1 magnitude earthquake, USGS says the area felt five earlier tremors. On Saturday, the area was hit with 2.1 and 2.3 magnitude earthquakes, and on Sunday, USGS reports 2.3, 2.6 and 2.2 magnitude earthquakes. The mayor says the 5.1 magnitude earthquake caused widespread minor damage to homes in Sparta with structures and chimneys being knocked off.  He has been visiting homes and businesses throughout the day.  Many local business in Sparta were closed because of damage caused by the earthquake.  The town was under construction at the time the earthquake hit.  A streetscape project has been under construction for a year now. The mayor says if the 100 year-old waterline was still in the ground, it would have been disastrous. Three homes made of rock were damaged, and the three families living in the homes had to be relocated because the homes are no longer safe to live in after the earthquake moved them off the foundation by four to six inches.  As of Sunday, Sparta had felt up to 11 shakes since Saturday with four of them registering over 2.6 magnitude.  There were also six to seven minor shakes throughout Alleghany County Sunday afternoon. The mayor says the town is “not out of the woods yet.”   Many who felt the earthquake said it lasted 10-15 seconds. Sunday’s 5.1 earthquake is the strongest earthquake to happen in North Carolina since 1916. A viewer in Pfafftown told us, “Around 8 a.m. this morning, our bedroom shook. We thought a tree had fallen but then heard it was an earthquake.” Experts with the United States Geological Survey are telling people to “be ready for more earthquakes” since aftershocks will continue near the mainshock. “The USGS advises everyone to be aware of the possibility of aftershocks, especially when in or around vulnerable structures such as unreinforced masonry buildings,” the website reads. Throughout next week, there is a 4 percent chance that one or more aftershocks will be larger than magnitude 5.1, according to the USGS forecast. Smaller earthquakes are more likely through next week. The chance of a magnitude 3 or higher earthquake is 56 percent. Magnitude 3 and above are large enough to be felt near the epicenter. The number of aftershocks will drop off over time, but a large aftershock can increase the numbers again, temporarily. USGS experts say this earthquake could be part of a sequence.  
Submit 


 Δ Copyright 2023 Nexstar Media Inc. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed.  Our expert shares tips for effectively and efficiently cleaning kids’ bedrooms and her top picks for products that help make children’s items cleaner and safer. Living an environmentally friendly lifestyle can be difficult when you can’t tell if a product is really green. Learn more here about how to avoid greenwashing. You should spend some time finding the perfect guinea pig cage and making sure it’s appropriate for your pets. Thanks for signing up! Watch for us in your inbox. Subscribe Now"
Sparta hit by 2.2 magnitude tremor morning after 5.1 magnitude earthquake felt across North Carolina,2020-08-10 12:55 UTC,https://myfox8.com/news/sparta-hit-by-2-2-magnitude-tremor-morning-after-5-1-magnitude-earthquake-felt-across-north-carolina/,"FOX8 WGHP Please enter a search term. Please enter a search term.       SPARTA, N.C. — The morning after Sparta endured a 5.1 magnitude earthquake, the town was hit by an aftershock.   The mayor of Sparta, Wes Brinegar, issued a state of emergency on Sunday after a 5.1. earthquake that was felt across North Carolina rattled the town.   The mayor says there is widespread minor damage to homes with structures and chimneys being knocked off.  He has been visiting homes and businesses throughout the day.  Many local business in Sparta are closed because of damage caused by the earthquake.  The town was under construction at the time the earthquake hit.  A streetscape project has been under construction for a year now. The mayor says if the 100 year-old waterline was still in the ground, it would have been disastrous. Three homes made of rock were damaged, and the three families living in the homes had to be relocated because the homes are no longer safe to live in after the earthquake moved them off the foundation by four to six inches.  As of Sunday, Sparta had felt up to 11 shakes since Saturday with four of them registering over 2.6 magnitude.  There have also been six to seven minor shakes throughout Alleghany County Sunday afternoon. The mayor says the town is “not out of the woods yet.”   Many who felt the earthquake said it lasted 10-15 seconds. Sunday’s 5.1 earthquake is the strongest earthquake to happen in North Carolina since 1916. A viewer in Pfafftown told us, “Around 8 a.m. this morning, our bedroom shook. We thought a tree had fallen but then heard it was an earthquake.” Experts with the United States Geological Survey are telling people to “be ready for more earthquakes” since aftershocks will continue near the mainshock. “The USGS advises everyone to be aware of the possibility of aftershocks, especially when in or around vulnerable structures such as unreinforced masonry buildings,” the website reads. Throughout next week, there is a 4 percent chance that one or more aftershocks will be larger than magnitude 5.1, according to the USGS forecast. Smaller earthquakes are more likely through next week. The chance of a magnitude 3 or higher earthquake is 56 percent. Magnitude 3 and above are large enough to be felt near the epicenter. The number of aftershocks will drop off over time, but a large aftershock can increase the numbers again, temporarily. USGS experts say this earthquake could be part of a sequence.  
Submit 


 Δ Copyright 2023 Nexstar Media Inc. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed.  Our expert shares tips for effectively and efficiently cleaning kids’ bedrooms and her top picks for products that help make children’s items cleaner and safer. Living an environmentally friendly lifestyle can be difficult when you can’t tell if a product is really green. Learn more here about how to avoid greenwashing. You should spend some time finding the perfect guinea pig cage and making sure it’s appropriate for your pets. Thanks for signing up! Watch for us in your inbox. Subscribe Now"
"6.5 Earthquake in Idaho: Map, Videos & Distance from Yellowstone",2020-04-01 00:30 UTC,https://heavy.com/news/2020/03/earthquake-idaho/,"   
			Glenn Douglas Perry was named as the suspect who is accused in connection with the deaths of two officers in Barron County, which is located in northwestern Wisconsin.
		   "
"Powerful earthquake shakes southern Mexico, at least 2 dead",2020-06-23 19:46 UTC,https://www.8newsnow.com/news/local-news/powerful-earthquake-shakes-southern-mexico-at-least-2-dead/,"KLAS Please enter a search term. Please enter a search term.       MEXICO CITY (AP) — A powerful earthquake centered near the southern Mexico resort of Huatulco killed at least four people, swayed buildings in Mexico City and sent thousands fleeing into the streets. Mexico President Andrés Manuel López Obrador said one person was killed and another injured in a building collapse in Huatulco, Oaxaca. Otherwise he said reports were of minor damage from the magnitude 7.4 quake, including broken windows and collapsed walls. Oaxaca Gov. Alejandro Murat later said a second person was killed in an apparent house collapse in the tiny mountain village of San Juan Ozolotepec.  Pemex also said the quake caused a fire at its refinery in the Pacific coast city of Salina Cruz, relatively near the epicenter. It said one worker was injured and the flames were quickly extinguished. Churches, bridges and highways also suffered damage during the quake. López Obrador said there had been more than 140 aftershocks, most of them small. Seismic alarms sounded midmorning with enough warning for residents to exit buildings. Power was knocked out to some areas. Helicopters flew over downtown Mexico City and police patrols sounded their sirens. Groups of people still milled around in close proximity on streets and sidewalks in some neighborhoods of the capital about an hour after the quake. Many were not wearing masks despite past appeals from municipal officials for them to do so as a way to curb the spread of the new coronavirus. Inside a Mexico City military barracks converted to COVID-19 hospital, medical staff suited in protective equipment tried to calm anxious patients. Unable to evacuate isolation areas, patients huddled under a large beam in the women’s ward while a nurse tried to calm one having a panic attack. Teresa Juárez could only wish for it to pass quickly from her hospital bed where she lay connected to oxygen. Diabetic and with high blood pressure, Juárez said she thought about her five children. “It’s horrible, you’re here and you don’t know what to do,” she said.  It was felt in Guatemala and throughout south and central Mexico. In Huatulco, a laid-back beach destination known for surfing and small protected coves, the earthquake knocked goods off shelves and some rubble from buildings. Mari González of the Princess Mayev hotel in Huatulco said staff and guests were able to evacuate the building before the quake, but that 45 minutes after the initial quake they were still outside as strong aftershocks continued. “It was strong, very strong,” she said. González said there was some visible broken glass and mirrors, but no major damage. The staff was waiting for the aftershocks to dissipate before fully evaluating the property. Local news media reported damage to some buildings in the state capital, Oaxaca city. State officials said they were looking for damage. The USGS estimated that some 2 million people felt strong or moderate shaking and another 49 million felt weak or light shaking. The earthquake hit a quake-prone region where four underground tectonic plates come together. In the past 35 years, there have been at least seven magnitude 7 or greater earthquakes, killing around 10,000 people — most of them in a 1985 8.0 quake. “This has the potential to be a deadly earthquake and cause significant damage,” U.S. Geological Survey seismologist Paul Earle said. “This area is capable of and has had larger earthquakes in the past.” “There will be aftershocks,” Earle said. “It is not unexpected to see a magnitude 6 at this point and a number of smaller ones.” This quake happened when the Cocos plate, which is to the southwest of the area, slipped under the North American plate, Earle said. “You’ve got all sorts of plates and they’re moving quickly,” Earle said. “The important thing is how fast the plates are moving relative to each other.” The U.S. National Oceanic and Atmospheric Administration forecast a tsunami threat with waves three to 10 feet above tide levels along parts of the coasts of Mexico. Smaller waves were expected through Central America, Peru and Ecuador. Guatemala’s national disaster agency issued a tsunami alert for its southern Pacific coast forecasting the arrival of waves up to a meter high. It advised people to move away from the sea. Copyright 2023 Nexstar Media Inc. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed. Our expert shares tips for effectively and efficiently cleaning kids’ bedrooms and her top picks for products that help make children’s items cleaner and safer. Living an environmentally friendly lifestyle can be difficult when you can’t tell if a product is really green. Learn more here about how to avoid greenwashing. You should spend some time finding the perfect guinea pig cage and making sure it’s appropriate for your pets."
"WATCH: 'As If Things Couldn't Get Worse,' Garcetti Comments About Earthquake",2020-06-04 02:47 UTC,https://heavy.com/news/2020/06/as-if-things-couldnt-get-worse-garcetti-earthquake/,"

							Twitter/MayorofLA						
						
													Garcetti announcing earthquake. 						
					 Los Angeles Mayor Eric Garcetti’s press conference was interrupted by an earthquake today. As he was speaking about the protests and getting tested for COVID-19, he learned about an 5.5 magnitude quake in the region.  And although he appeared calm while he was announcing it, he also added some commentary that is quickly going viral online. “As if things couldn’t get worse,” Garcetti said about the earthquake after announcing what had occurred.   The Mayor pretty much sums it up right now in LA. #earthquake pic.twitter.com/xGgVEzzRO4 — Niall Dalton (IRE) (@Stakeshorses) June 4, 2020     — MayorOfLA (@MayorOfLA) June 4, 2020    Mayor Garcetti saying “as if things couldn’t get worse” after an earthquake interrupted his press conference about coronavirus and thr protests. 😭💀 — Charles O'Keefe (@CharlesAOKeefe) June 4, 2020  Another person said that they thought the earthquake was a lot closer than it was based on what he said during the press conference. He announced it was in San Bernardino and was 5.7 on the Richter scale. Later estimates put the center of the quake at about 103 miles from San Bernardino. Garcetti at the time said they would support the people in San Bernardino after damage was assessed. Then he went back to discussing the importance of being tested for COVID-19.   — Jeff Pope (@JeffPopeRadio) June 4, 2020  Another person said they thought the announcement was fake at first because they couldn’t feel the earthquake.  I didn't feel it, but Eric Garcetti interrupted his BLM statement to talk about the earthquake and it felt like just a distraction from the matter at hand. I legit thought it was fake. haha — matt (@pineasaurus) June 4, 2020  The earthquake happened while many protesters were gathered in downtown Los Angeles.   — David Zahniser 🦅 (@DavidZahniser) June 4, 2020   Mayor Garcetti “uhhh i guess we just had an earthquake” as if things couldn’t get worse. #earthquake #riots #covid #lamayor pic.twitter.com/0Oryc7gUix — visadiva (@VISA_DIVA) June 4, 2020  Although the center of the quake was technically  117.5 miles south-southwest of Los Angeles, according to USGS, the 5.1 magnitude earthquake could still be felt by people in the city. Others tweeted the same feelings about the quake after it happened.  Earthquake in Cali…As if 2020 couldn't get any worse!!! — Ricky Franco (@Sliqriq1) June 4, 2020    We’re almost at the mid point of 2020 so yes, story wise, this is a perfect time for the big earthquake. #bigone #sanandreas #earthquake #California — Michael Beatrice (@MichaelBeatrice) June 4, 2020  And some wondered about putting together an earthquake kit now that they’d been focusing on their pandemic kit.  Pandemic kit has decimated earthquake kit! — Z Mann (@izacmann) June 4, 2020  Technically, the earthquake today was actually an aftershock of a Ridgecrest earthquake from nearly a year ago, experts said.   M 5.53 makes this the largest aftershock of the Ridgecrest sequence, nearly 1 year after it began. — Zachary Ross (@zross_) June 4, 2020   Why is this considered a Ridgecrest aftershock after almost a year? Because the rate of events per day is still way above the rate before the sequence started. — Zachary Ross (@zross_) June 4, 2020    Yes, an earthquake. A M5.5 at the very southern end of the 2019 Ridgecrest aftershock zone.  This is a large late aftershock – do you remember that I said these are common? — Dr. Lucy Jones (@DrLucyJones) June 4, 2020  Below is a map of the earthquake’s location, as shared by USGS.gov.  USGS     "
Magnitude 6.3 earthquake hits Croatia; 1 death reported,2020-12-29 13:22 UTC,https://gazette.com/ap/international/magnitude-6-3-earthquake-hits-croatia-1-death-reported/article_138f2c9c-c400-5dee-b676-63954c2d3816.html," The page may have moved, you may have mistyped the address, or followed a bad link. Visit our homepage, or search for whatever you were looking for…"
2.2 magnitude earthquake reported near Sparta,2020-09-23 14:34 UTC,https://myfox8.com/news/2-2-magnitude-earthquake-reported-near-sparta/,"FOX8 WGHP Please enter a search term. Please enter a search term.       SPARTA, N.C. — Sparta felt another earthquake more than a month after an earthquake led to hundreds of cases of damage in the town.   The damage left behind after a 5.1 magnitude earthquake struck Sparta on Aug. 9 was worse than initially thought, according to the Town of Sparta.  “We are hearing continuous rumbles throughout our community here in town and in Alleghany County, but we thank the Good Lord to this day that there have been no injuries or fatalities,” Mayor Wes Brinegar said during a Tuesday news conference. While damage assessments are still ongoing, the Town of Sparta had received about 525 reports of damage as of the close of business Monday, Emergency Management Director Daniel Shoffner said. 60 of these cases have been categorized as “major damage,” meaning they lost 40% or more in value. “We underestimated the damage and that was the number one thing. We were looking for major damage in our initial reports, but now, it’s coming out more and more with damage more widespread and severe,” Brinegar said. Brinegar said many of the people living in Sparta, especially those in the older population, are dealing with the emotional trauma that comes with having a natural disaster. And having 20 aftershocks since the earthquake hasn’t helped. “We’re still getting those aftershocks and those loud booms periodically. A lot of people are on edge right now and a lot of people have those issues because they’re paranoid right now,” Brinegar said. The Estep sisters didn’t return back to even look at the damage until Tuesday — more than a week after the quake. They own three side-by-side properties that have all been deemed unlivable. “Our parents were here first and all total 54 years,” Mary Estep said. In those 54 years, a lot of memories have been made there. “All the Christmas’ all the holidays, birthday, Thanksgiving was here,” Mary Estep said. In a matter of seconds, everything changed. “All of a sudden it was like a bomb went off. Everything was flying and shaking, and it was terrifying. Only thing I was thinking was, ‘I got to get her out of the kitchen,’” Mary Estep said. As the quake shook photos, books and home décor off the walls and shelves, she was in the living room frantically trying to get to her sister Alice Estep. “She was yelling ‘get out, get out.’ And I was saying ‘I’m right here, I’m right here,’” Alice Estep said. Hanging on to one another, the two women made it to the door only to find that it was blocked from the outside. A neighbor was able to get them out. They own these two homes and the apartments in the middle. All three properties are beyond repair. “This is a loss completely to us. We just don’t know where to turn, or what to do,” Alice Estep said. While it’s going to take months for some people, cleanup efforts have begun for those who’ve documented their damages. The emergency management report for damage assessment has been sent to state officials. “We are very much relying on state and federal officials to help put the people in this county,” said Daniel Roten, Alleghany County Emergency Management coordinator. He’s hopeful the county will get some money to assist individuals in this time of need. “As its been mentioned before, no one here had earthquake insurance — maybe a handful. I can count them on one hand,” Roten said. Unfortunately, with every tragedy, Brinegar said it seems like there’s someone trying to profit off of it. He said scammers are creating GoFundMe pages asking people to donate. The Red Cross is now housing 19 people from 10 families. The city doesn’t have an official GoFundMe for the victims. Brinegar said all assistance will go through the American Red Cross and they do have a fund called “Sparta Alleghany County North Carolina Earthquake.” Shoffner says the school system did sustain some damage during the earthquake. The school system has taken the necessary steps to ensure the safety of students and faculty.  The area felt eight tremors before the earthquake, as well as 20 aftershocks. The 5.1 earthquake centered in Sparta was felt across North Carolina.  Many who felt the earthquake said it lasted 10-15 seconds. The 5.1 magnitude earthquake in Sparta was the strongest earthquake to happen in North Carolina since 1916. Yup, that sure was what you thought you felt.Please do not call 911 simply to report the #earthquake. Only call if you need assistance.  By far the largest quake in North Carolina since a M 5.2 in 1916. #Earthquake pic.twitter.com/J3yuTrdSq5 Developing… 
Submit 


 Δ Copyright 2023 Nexstar Media Inc. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed.  Our expert shares tips for effectively and efficiently cleaning kids’ bedrooms and her top picks for products that help make children’s items cleaner and safer. Living an environmentally friendly lifestyle can be difficult when you can’t tell if a product is really green. Learn more here about how to avoid greenwashing. You should spend some time finding the perfect guinea pig cage and making sure it’s appropriate for your pets. Thanks for signing up! Watch for us in your inbox. Subscribe Now"
Is earthquake weather real? Debunking myth that certain weather precedes quakes,2020-08-17 06:16 UTC,https://abc7news.com/weather/is-there-such-thing-as-earthquake-weather/6373662/,"WATCH LIVE Meteorologist Drew Tuma debunks the myth of earthquake weather. According to the USGS, statistically, there is an equal chance of an earthquake occurring in hot weather, cold weather, rainy weather, etc. SAN FRANCISCO (KGO) -- If you've lived in California long enough you've heard someone mention earthquake weather. The theory that certain types of weather precede an earthquake.  Excessively hot and calm winds? Earthquake weather. Warm Santa Ana winds? Earthquake weather. Cloudy skies and a gentle breeze? Earthquake weather. If only it were that easy to predict when the next earthquake will strike. Unfortunately, there is no such thing as earthquake weather.   According to the USGS, statistically, there is an equal chance of an earthquake occurring in hot weather, cold weather, rainy weather, etc. Earthquakes can happen at anytime and the best thing we can do is be prepared for the next one. Watch the latest AccuWeather forecast and take a look at recent weather stories and videos.  Google 'committed' to massive complex in downtown San Jose Bay Area mom accused in teen party scandal called a 'predator' Thieves hit fire-damaged SF apartment 2 days in a row"
NC earthquake: photo gallery shows damage in Sparta,2020-08-09 17:47 UTC,https://myfox8.com/news/nc-earthquake-photo-gallery-shows-damage-in-sparta/,"FOX8 WGHP Please enter a search term. Please enter a search term.       SPARTA, N.C. — A 5.1 earthquake centered in Sparta was felt across North Carolina on Sunday morning.  Many who felt the earthquake said it lasted 10-15 seconds. Sunday’s 5.1 earthquake is the strongest earthquake to happen in North Carolina since 1916. A viewer in Pfafftown told us, “Around 8 a.m. this morning, our bedroom shook. We thought a tree had fallen but then heard it was an earthquake.” Experts with the United States Geological Survey are telling people to “be ready for more earthquakes” since aftershocks will continue near the mainshock. “The USGS advises everyone to be aware of the possibility of aftershocks, especially when in or around vulnerable structures such as unreinforced masonry buildings,” the website reads. Throughout next week, there is a 4 percent chance that one or more aftershocks will be larger than magnitude 5.1, according to the USGS forecast. Smaller earthquakes are more likely through next week. The chance of a magnitude 3 or higher earthquake is 56 percent. Magnitude 3 and above are large enough to be felt near the epicenter. The number of aftershocks will drop off over time, but a large aftershock can increase the numbers again, temporarily. USGS experts say this earthquake could be part of a sequence.  
Submit 


 Δ Copyright 2023 Nexstar Media Inc. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed.  Our expert shares tips for effectively and efficiently cleaning kids’ bedrooms and her top picks for products that help make children’s items cleaner and safer. Living an environmentally friendly lifestyle can be difficult when you can’t tell if a product is really green. Learn more here about how to avoid greenwashing. You should spend some time finding the perfect guinea pig cage and making sure it’s appropriate for your pets. Thanks for signing up! Watch for us in your inbox. Subscribe Now"
"Ten years after an earthquake devastated their country, many Haitians have little hope",2020-01-13 02:36 UTC,https://www.cnn.com/2020/01/12/world/haiti-earthquake-ten-years-anniversary-intl/index.html," 
      The devastating force of the 7.0 quake on January 12, 2010, split the country’s history into a before, and an after. Before had been a long, tangled history of dictatorship, occupation and resistance, shot through with the pride of a slave revolution that defeated Napoleon Bonaparte’s army. After was unimaginable – a blank slate. 
   
      “I think they just dropped a bomb on Port-au-Prince,” is what Francoise Chandler, a local UNICEF communications officer, told her daughter after the first tremor struck. She had just picked her up from school. 
   
      “Everything was shaking, and there was a lot of noise. I thought it was like September 11 in New York, because I had been in New York in that period,” Chandler says. Thick dust rose in the air around their car. 
   
      “Are we going die?” she remembers her daughter asking. Chandler replied, “I don’t have the answer to that, but if we’re going to die, we’ll die together.”
   
      Her daughter stopped asking questions then, she says.
   
      According to the US Geological Survey, the earthquake itself lasted less than 30 seconds. The immediate aftermath was horrifying. But an outpouring of solidarity within the country, and between Haiti and the rest of the world, gave many Haitians hope.
   
      “The world really did come together around Haiti,” says CNN’s Sanjay Gutpa, who covered the aftermath extensively and even treated injuries while on the ground. “Not every part of the world, but I think if you were to turn on your televisions, if you were to read the newspaper, if you were to talk to your friends, colleagues at work, there was this collective outpouring of support and compassion for Haiti.”
   
      The world sent firemen from New York City, rescue workers from Iceland, hospital tents from Israel, sniffer dogs from China, oil from Venezuela. NGOs that were already in the country leaped into action. Chandler recalls working out of an open-air tent in the days after the quake because the organization’s offices had crumbled. 
   
      International donors pledged millions, which eventually tallied up to more than $10 billion for reconstruction. The earthquake had been particularly lethal due to the fragile construction of Haiti’s buildings, which crashed down upon their inhabitants.
   
      “Right after the earthquake I felt a lot of hope, because I thought emerging from the catastrophe would make everyone a better person in the service of this country,” says Harold Prévil, an obstetrician and head of Sacre Coeur hospital in Haiti’s northern city of Milot.
   
      But a decade later, he and many others tell CNN they are now disillusioned and have far less hope for their country than they did in the gory aftermath of the earthquake.  
   
      “A lot of money was spent after the earthquake, but the results are meager,” Haitian President Jovenel Moise told CNN in an interview Sunday. 
   
      Moise has publicly acknowledged how little Haiti had had moved forward in the past decade. “Despite our best efforts to rebuild after the earthquake, the scars of this tragic event remain,” he said in a statement on Saturday. “Ten years on, we still lack the basic infrastructure and services to support the people of our country.”
   
      Parts of Haiti that were destroyed in 2010 still have not been rebuilt, including the seat of government, the National Palace. And there is little sign that buildings which have been reconstructed are structurally sound enough to keep inhabitants safe through the next earthquake. 
   
      Whiplashed between disasters both natural and political over the past decade, many Haitians have not had a chance to rebuild mentally or emotionally either, says Marline Naromie Joseph, a Haitian psychologist who has worked with Medecins sans Frontieres (Doctors Without Borders) for 12 years. She was on the frontlines of emergency medicine in the aftermath of the quake, working with patients who had lost limbs, children who had lost their parents and colleagues who had borne witness to the quake’s horrors. 
   
      Joseph recalls witnessing the first bodies being collected in a city street on the day after the earthquake. 
   
      “The sound that the bodies made falling into the truck was nauseating,” she says. Further along that same road, workers were separating the dead into piles of children and adults, she recalls – an image which would return to her every time she walked on that street for years and which she eventually realized was evidence of her own trauma. 
    
      “Even though there were no longer the children, no longer the dead, it was as if it were the first day that I was seeing them,” she says. “My brain had saved this image and became stuck on it.”
   
      Some patients still have flashbacks to the sensation of the earth moving beneath their feet when revisiting certain settings – like the hospital’s operating room, she says. 
   
      According to Joseph’s diagnosis, the country’s misfortunes over the past decade have piled stress upon trauma. In the years since the earthquake, the country has been pounded with hurricanes, floods and drought. It’s also been betrayed by human error – tied to a devastating cholera epidemic, for example – and government corruption that has sparked Haiti’s current political unrest.
   
      “We can live with stress, but living with permanent stress will not leave the body without consequence. Eventually, you fall directly into exhaustion,” says Joseph, who notes she has observed more mentally ill people living on the streets than before the earthquake.
   
      One particularly bitter frustration on the earthquake’s 10-year anniversary is how weakened the country’s economy and infrastructure seem to be.
   
      “Ten years after, I am a physician, I am the chief executive officer of a 210-bed facility, but believe me, I am hopeless,” says Prévil, the doctor. “Haitians have not had the opportunity to do things differently and better.”
   
      Some things are better. Haiti’s medical system has widened since the quake, and UNICEF reports that no new cholera cases have been diagnosed since February last year. 
   
      But Prévil and Joseph both say that the country’s medical and mental health resources would nevertheless be insufficient for another disaster on the scale of the 2010 earthquake. 
   
      “I would not say we have an institution capable of dealing with all the psychological trauma of another catastrophe like that,” Joseph says.
   
      The country is currently gripped by skyrocketing inflation, while fuel shortages slow the gears of industry and government. According to a new report by the UN’s disaster relief agency OCHA, rising prices mean even basic supplies are now out of reach for the poor. 
    
      In his Saturday statement, Moise rebuked the rest of the world for failing to follow through on its promises. 
   
      “The initial flurry of attention received from the international community quickly quieted down, with many of the financial pledges not delivered – causing devastating consequences for our recovery,” he said. 
   
      “Little of the aid that was received ended up in Haitian hands and much of the money that was so generously given was not spent on the right projects and places,” Moise added, echoing a common criticism that aid money focused on short-term relief rather than sustainable, long-term systems.
   
      By 2012, $6.4 billion of the more than $10 billion pledged had been disbursed, according to a report by Paul Farmer, a Harvard medical anthropologist who served as the UN’s Deputy Special Envoy for Haiti. 
   
      And while there is little consensus over how much more of the money has been spent, the report on the first two years of spending supports Moise’s point. It noted that “less than 10 percent was disbursed directly to the [Government of Haiti]  using its systems; less than 0.6 percent was disbursed directly to Haitian organizations and businesses as program grants.”
   
      What Haiti’s government has done with the funds it had at its disposal is also a cause for complaint for many citizens. 
   
      For nearly two years now, Haiti has been in political crisis – sometimes punctuated with country-wide lockdowns – over dissatisfaction with the government and how it has dealt with allegations of extraordinary corruption.
   
      The protests were sparked by a fuel price hike and an official report alleging that past administrations had wasted millions of dollars intended for critical infrastructure projects, paying through the nose for contracts on new roads and buildings that went entirely unbuilt, in some cases. That money, stemming from a pre-earthquake deal with Venezuela known as PetroCaribe, will eventually have to be repaid by Haiti’s next generation.
   
      “What frustrated me a lot and made me feel really sad and sick was that I thought that the Haitian people and the Haitians who were in charge of the country would have taken [the earthquake] as an opportunity to make the country better,” says Prévil. 
   
      “But it has not happened. My leaders have become more selfish, they have been robbing more. So instead of taking the opportunity to change the country, they’ve made it worse.”
   
      Haiti has never come out of the darkness of the 2010 earthquake, says Etzer Emile, a Haitian economics researcher and entrepreneur in Port-au-Prince who identifies himself as one of the activists calling for change. He credits the PetroCaribe scandal with drawing local corruption into focus and creating a movement for change, disruptive as it is. 
   
      “You know, that can make us feel (like) … there’s something actually we had, and we didn’t really take advantage of it.”
   
      Now that the government has publicly documented funds lost or disappeared, Emile says the numbers are accessible in a way that they weren’t before. They also can be shared easily thanks to social media, which has fanned outrage and calls for change – including for Moise’s resignation – as anti-corruption activists accuse the President of turning a blind eye to the PetroCaribe allegations.
   
      Moise told CNN that fighting corruption is still a priority of his administration and said that the past months of political unrest have exacerbated Haiti’s economic problems. 
   
      “We need the same solidarity we had after the earthquake,” he said, emphasizing this time he means solidarity with “the actors who are putting the country on a path to change, to economic growth, and development.”
   
      Haiti is considered one of the most vulnerable countries to climate change, and its location in the Caribbean lies squarely in the middle of a hurricane belt. As it looks toward the future, how Haiti can prepare for the next great disaster – and what kind of help it might receive – are urgent questions.
   
      Emile believes Haiti no longer commands the same interest and compassion that it did in 2010. 
   
      “If Haiti’s reconstruction had been a success, maybe we could have been interesting to people as a case study. But it was a failure, so people feel fed up … they don’t even want to talk about it that much,” he says. “The further we go from the earthquake, the less interested people are in Haiti.”
   
      The drop in interest is, in fact, measurable: A 2019 UN plan for humanitarian aid to Haiti only managed to raise a third of the funding it needed.
   
      Vania André, publisher of the Haitian Times, a paper of record for the Haitian diaspora, says that the earthquake galvanized the loyalty – and a certain defiance – of generations of Haitian Americans. 
   
      It became common to hear stories of Haitian-Americans “leaving their corporate jobs in DC or Florida and moving to Haiti to create a nonprofit,” she says. “They wanted people to see that Haiti is much more than the devastation that happened with the earthquake, that Haiti is much more than this republic of NGOs.” 
   
      But she also notes that many of those same foreign-born idealists did not stay long, discouraged by the skepticism they encountered and the difficulties of doing business.
   
As the flow of foreign aid money ebbs and Haitians lose faith in their government, some say they only thing they can rely on is their own experience. 
   
      Prévil, the obstetrician, says another earthquake would be Haiti’s “worst nightmare” and that he still gets flashbacks to the feeling of the ground moving under his feet. But at least he now knows how to react. 
   
      “If there is another earthquake, I have a good strong desk. I will go under the desk,” he says. “And then I will call for my contingency plan and start right away to take care of as many people as I can. Because I know what to do now.”
   © 2023 Cable News Network. A Warner Bros. Discovery Company. All Rights Reserved.  CNN Sans ™ & © 2016 Cable News Network."
