Title,Time,Url
Sparta continues to feel tremors after 5.1 magnitude earthquake felt across North Carolina,2020-08-11 12:17 UTC,https://myfox8.com/news/sparta-continues-to-feel-tremors-after-5-1-magnitude-earthquake-felt-across-north-carolina/
Sparta hit by 2.2 magnitude tremor morning after 5.1 magnitude earthquake felt across North Carolina,2020-08-10 12:55 UTC,https://myfox8.com/news/sparta-hit-by-2-2-magnitude-tremor-morning-after-5-1-magnitude-earthquake-felt-across-north-carolina/
"6.5 Earthquake in Idaho: Map, Videos & Distance from Yellowstone",2020-04-01 00:30 UTC,https://heavy.com/news/2020/03/earthquake-idaho/
"Powerful earthquake shakes southern Mexico, at least 2 dead",2020-06-23 19:46 UTC,https://www.8newsnow.com/news/local-news/powerful-earthquake-shakes-southern-mexico-at-least-2-dead/
"WATCH: 'As If Things Couldn't Get Worse,' Garcetti Comments About Earthquake",2020-06-04 02:47 UTC,https://heavy.com/news/2020/06/as-if-things-couldnt-get-worse-garcetti-earthquake/
Magnitude 6.3 earthquake hits Croatia; 1 death reported,2020-12-29 13:22 UTC,https://gazette.com/ap/international/magnitude-6-3-earthquake-hits-croatia-1-death-reported/article_138f2c9c-c400-5dee-b676-63954c2d3816.html
2.2 magnitude earthquake reported near Sparta,2020-09-23 14:34 UTC,https://myfox8.com/news/2-2-magnitude-earthquake-reported-near-sparta/
Is earthquake weather real? Debunking myth that certain weather precedes quakes,2020-08-17 06:16 UTC,https://abc7news.com/weather/is-there-such-thing-as-earthquake-weather/6373662/
NC earthquake: photo gallery shows damage in Sparta,2020-08-09 17:47 UTC,https://myfox8.com/news/nc-earthquake-photo-gallery-shows-damage-in-sparta/
"Ten years after an earthquake devastated their country, many Haitians have little hope",2020-01-13 02:36 UTC,https://www.cnn.com/2020/01/12/world/haiti-earthquake-ten-years-anniversary-intl/index.html
Sparta continues to feel tremors after 5.1 magnitude earthquake felt across North Carolina,2020-08-11 12:17 UTC,https://myfox8.com/news/sparta-continues-to-feel-tremors-after-5-1-magnitude-earthquake-felt-across-north-carolina/
Sparta hit by 2.2 magnitude tremor morning after 5.1 magnitude earthquake felt across North Carolina,2020-08-10 12:55 UTC,https://myfox8.com/news/sparta-hit-by-2-2-magnitude-tremor-morning-after-5-1-magnitude-earthquake-felt-across-north-carolina/
"6.5 Earthquake in Idaho: Map, Videos & Distance from Yellowstone",2020-04-01 00:30 UTC,https://heavy.com/news/2020/03/earthquake-idaho/
"Powerful earthquake shakes southern Mexico, at least 2 dead",2020-06-23 19:46 UTC,https://www.8newsnow.com/news/local-news/powerful-earthquake-shakes-southern-mexico-at-least-2-dead/
"WATCH: 'As If Things Couldn't Get Worse,' Garcetti Comments About Earthquake",2020-06-04 02:47 UTC,https://heavy.com/news/2020/06/as-if-things-couldnt-get-worse-garcetti-earthquake/
Magnitude 6.3 earthquake hits Croatia; 1 death reported,2020-12-29 13:22 UTC,https://gazette.com/ap/international/magnitude-6-3-earthquake-hits-croatia-1-death-reported/article_138f2c9c-c400-5dee-b676-63954c2d3816.html
2.2 magnitude earthquake reported near Sparta,2020-09-23 14:34 UTC,https://myfox8.com/news/2-2-magnitude-earthquake-reported-near-sparta/
Is earthquake weather real? Debunking myth that certain weather precedes quakes,2020-08-17 06:16 UTC,https://abc7news.com/weather/is-there-such-thing-as-earthquake-weather/6373662/
NC earthquake: photo gallery shows damage in Sparta,2020-08-09 17:47 UTC,https://myfox8.com/news/nc-earthquake-photo-gallery-shows-damage-in-sparta/
"Ten years after an earthquake devastated their country, many Haitians have little hope",2020-01-13 02:36 UTC,https://www.cnn.com/2020/01/12/world/haiti-earthquake-ten-years-anniversary-intl/index.html
"Just a day after 5.2 earthquake, strong 6.3 magnitude earthquake hits central Croatia",2020-12-29 12:11 UTC,https://www.myarklamiss.com/news/international/just-a-day-after-5-2-earthquake-strong-6-3-magnitude-earthquake-hits-central-croatia/
"Earthquake on Sunday brought 'much excitement, but little impact' to Rhode Island",2020-11-10 02:00 UTC,https://www.thewesterlysun.com/news/westerly/earthquake-on-sunday-brought-much-excitement-but-little-impact-to-rhode-island/article_89fb00c4-22ce-11eb-bd80-037d0e96e48a.html
"Earthquake in Massachusetts felt in Connecticut, Long Island",2020-11-08 16:27 UTC,https://abc7ny.com/earthquake-in-massachusetts-felt-in-connecticut-long-island/7767420/
From the Archives: ABC7's Peabody Award winning coverage of 1989 Loma Prieta earthquake,2020-10-17 15:58 UTC,https://abc7news.com/the-first-few-hours-abc7s-coverage-of-1989-loma-prieta-earthquake/7105611/
Alleghany County experiences 2.6 magnitude earthquake,2020-10-01 22:07 UTC,https://www.wxii12.com/article/sparta-26-magnitude-earthquake/34241518
Google Builds Largest Earthquake Detection System With Your Phone,2020-09-25 04:00 UTC,https://www.forbes.com/sites/bernardmarr/2020/09/25/google-builds-largest-earthquake-detection-system-with-your-phone/
"Earthquake Preparedness 101: How To Be Ready Before, During, After A Quake",2020-09-19 08:27 UTC,https://losangeles.cbslocal.com/2020/09/19/earthquake-safety-plan-south-el-monte-usgs-california/
"3.1 magnitude earthquake reported in Monmouth County, N.J.",2020-09-09 21:14 UTC,https://6abc.com/31-magnitude-earthquake-hits-freehold-new-jersey/6415086/
Are we prepared for an earthquake during the pandemic? Dr. Lucy Jones answers your questions,2020-08-19 00:55 UTC,https://abc7.com/earthquake-expert-dr-lucy-jones-answers-your-questions/6376814/
Is earthquake weather real? Here's what experts say,2020-08-17 21:26 UTC,https://abc7.com/weather/is-there-such-thing-as-earthquake-weather/6374630/
"Earthquake Swarm In California's San Andreas Fault Might Trigger Powerful Quake Next Week, USGS Warns",2020-08-13 03:45 UTC,https://www.ibtimes.com/earthquake-swarm-californias-san-andreas-fault-might-trigger-powerful-quake-next-week-3027546
2.2M aftershock reported near Sparta following Sunday earthquake,2020-08-10 13:28 UTC,https://www.wbtv.com/2020/08/10/m-aftershock-reported-near-sparta-following-sunday-earthquake/
Sparta mayor issues state of emergency after 5.1 earthquake felt across North Carolina,2020-08-09 20:41 UTC,https://myfox8.com/news/sparta-mayor-issues-state-of-emergency-after-5-1-earthquake-felt-across-north-carolina/
North Carolina Hit By Strongest Earthquake In Over 100 Years,2020-08-09 17:01 UTC,https://www.ibtimes.com/north-carolina-hit-strongest-earthquake-over-100-years-3025309
'Be ready for more earthquakes': USGS says aftershocks possible after 5.1 earthquake felt across NC,2020-08-09 15:55 UTC,https://myfox8.com/news/be-ready-for-more-earthquakes-usgs-says-aftershocks-possible-after-5-1-earthquake-felt-across-nc/
5.1 earthquake felt across North Carolina,2020-08-09 14:44 UTC,https://fox8.com/news/5-1-earthquake-felt-across-north-carolina/
'Be ready for more earthquakes'; USGS predicts aftershocks following 5.1M earthquake in N.C.,2020-08-09 14:34 UTC,https://www.wbtv.com/2020/08/09/be-ready-more-earthquakes-usgs-predicts-aftershocks-after-m-earthquake-nc/
"Los Angeles Residents, Celebrities React To Los Angeles Earthquake On Twitter",2020-07-30 14:20 UTC,https://www.ibtimes.com/los-angeles-residents-celebrities-react-los-angeles-earthquake-twitter-3019594
Magnitude 7.8 Earthquake Rocks Alaska,2020-07-22 10:50 UTC,https://heavy.com/news/2020/07/earthquake-perryville-alaska/
"Magnitude 5.8 earthquake shakes Central California, felt across state",2020-06-24 21:10 UTC,https://abc7.com/weather/m-58-earthquake-shakes-central-california-felt-across-state/6264776/
"Magnitude 5.8 earthquake shakes Central California, felt across state",2020-06-24 21:10 UTC,https://abc13.com/weather/m-58-earthquake-shakes-central-california-felt-across-state/6264776/
USGS says there is no correlation between Thursday's 4.2 earthquake and the November 2018 earthquake,2020-06-19 10:38 UTC,https://www.ktuu.com/content/news/USGS-says-there-is-no-correlation-between-Thursdays-42-earthquake-and-the-November-2018-earthquake-571367011.html
Did you feel it? Arizonans report feeling 5.5-magnitude Mexico earthquake,2020-03-07 05:06 UTC,https://www.kgun9.com/news/state/did-you-feel-it-arizonans-report-feeling-5-5-magnitude-mexico-earthquake
"Magnitude 7.7 earthquake hits Caribbean Sea off the coast of Jamaica, tsunami threat message issued",2020-01-28 20:15 UTC,https://myfox8.com/2020/01/28/magnitude-7-7-earthquake-hits-caribbean-sea-off-the-coast-of-jamaica/
'We have dead children': 5 deaths reported after magnitude 6.3 earthquake hits Croatia,2020-12-29 16:56 UTC,https://abc13.com/we-have-dead-children-5-deaths-reported-in-croatian-earthquake/9166672/
Magnitude 6.3 Earthquake Hits Croatia; 1 Death Reported,2020-12-29 14:17 UTC,https://www.theepochtimes.com/magnitude-6-3-earthquake-hits-croatia-1-death-reported_3636028.html
Child reported dead after 6.3 earthquake hit Croatia,2020-12-29 13:59 UTC,https://6abc.com/magnitude-63-earthquake-hits-croatia;-1-child-dead/9166672/
Child reported dead after 6.3 earthquake hit Croatia,2020-12-29 13:59 UTC,https://abc7.com/magnitude-63-earthquake-hits-croatia;-1-child-dead/9166672/
Child reported dead after 6.3 earthquake hit Croatia,2020-12-29 13:59 UTC,https://abc7news.com/magnitude-63-earthquake-hits-croatia;-1-child-dead/9166672/
Child reported dead after 6.3 earthquake hit Croatia,2020-12-29 13:59 UTC,https://abc13.com/magnitude-63-earthquake-hits-croatia;-1-child-dead/9166672/
Magnitude 6.3 earthquake hits Croatia; 1 death reported,2020-12-29 13:57 UTC,https://abc13.com/magnitude-63-earthquake-hits-croatia;-1-death-reported/9166672/
Child reported dead after 6.3 earthquake hit Croatia,2020-12-29 12:22 UTC,https://abc7ny.com/magnitude-63-earthquake-hits-croatia;-1-child-dead/9166672/
Did you feel that? Earthquake strikes off Massachusetts coast and is felt in parts of NH,2020-11-08 16:01 UTC,https://www.wmur.com/article/earthquake-strikes-massachusetts-november-8-2020/34610473
"4.0 earthquake hits Massachusetts, rattles parts of Connecticut, New York",2020-11-08 15:44 UTC,https://abc7news.com/40-earthquake-hits-massachusetts/7768475/
"4.0 earthquake hits Massachusetts, rattles parts of Connecticut, New York",2020-11-08 15:44 UTC,https://6abc.com/40-earthquake-hits-massachusetts/7768475/
"4.0 earthquake hits Massachusetts, rattles parts of Connecticut, New York",2020-11-08 15:44 UTC,https://abc7.com/40-earthquake-hits-massachusetts/7768475/
"4.0 earthquake hits Massachusetts, rattles parts of Connecticut, New York",2020-11-08 15:44 UTC,https://abc13.com/40-earthquake-hits-massachusetts/7768475/
Magnitude 4.2 earthquake hits off Mass. coast; CT residents affected,2020-11-08 14:42 UTC,https://www.wtnh.com/news/magnitude-4-2-earthquake-hits-off-mass-coast-ct-residents-affected/
