index,Title,Time,Url,Body,summ,Location,latitude,longitude
98,3.5-magnitude earthquake recorded near Anza,2020-04-05 22:59 UTC,https://fox5sandiego.com/news/earthquakes/3-5-magnitude-earthquake-recorded-near-anza/,"FOX 5 San Diego Please enter a search term. Please enter a search term.       ANZA, Calif. — A 3.5-magnitude earthquake struck near Anza Sunday afternoon, according to the United States Geological Survey.  The earthquake, which could be felt in areas throughout San Diego County, followed a 4.9-magnitude earthquake and at least eight aftershocks that rattled Southern California Friday evening. Early details regarding whether or not any damage resulted from the earthquake Sunday afternoon were not immediately available. 
Submit 


 Δ Copyright 2023 Nexstar Media Inc. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed. ","— A 3.5-magnitude earthquake struck near Anza Sunday afternoon, according to the United States Geological Survey.",Anza,33.5678,-116.6966
99,[BREAKING] 4.9 Magnitude Earthquake Shakes Southern California; How Bad is the Damage?,2020-04-04 03:21 UTC,https://www.techtimes.com/articles/248585/20200403/breaking-4-9-magnitude-earthquake-shakes-southern-california-how-bad-is-the-damage.htm,"  As explained, an average of 234 earthquakes with magnitudes of 3.0 to 4.0 occur each year in California and Nevada, according to a recent three-year data sample. Study shows that California has always been a center of earthquakes compared to other states. The earthquakes are caused by the movement of huge blocks of the earth's crust- the Pacific and North American plates. For example, the Pacific plate is moving northwest and scrapes it for 2 inches per year.  And this is just a normal phenomenon that happens in the area.  A magnitude 4.9 earthquake recently hit the Southern part of California and its neighboring counties tonight, April 3.  According to the United States Geological Survey, the earthquake was also experienced the most 8 miles from Palm Springs. Effects were also felt as far as San Diego, Riverside and Orange counties, with some people as far away as Los Angeles saying they felt some tremors.  Reports of casualties or building damage have not yet confirmed. Residents near California have already expressed their thoughts and panic on social media saying that after all the things that are currently happening in the world, this is not what they wanted to have at the moment.   Earthquake expert Lucy Jones explained the quake saying that it is normal for the Southern part of California to experience earthquakes as this is no longer new to the state. She said that the ""quake hit either near or on the San Jacinto fault, which she said has seen many quakes of that range over the years."" As reported in the Los Angeles Times, an average of 25 earthquakes with magnitudes between 4.0 and 5.0 occur per year in California and Nevada, according to a recent three-year data sample.   Sign up for our free newsletter for the Latest coverage!  ","As explained, an average of 234 earthquakes with magnitudes of 3.0 to 4.0 occur each year in California and Nevada, according to a recent three-year data sample.
She said that the ""quake hit either near or on the San Jacinto fault, which she said has seen many quakes of that range over the years."" As reported in the Los Angeles Times, an average of 25 earthquakes with magnitudes between 4.0 and 5.0 occur per year in California and Nevada, according to a recent three-year data sample.",California,38.2969,-76.4949
100,6.5-Magnitude Earthquake Shakes Idaho,2020-04-01 11:04 UTC,https://www.newsmax.com/newsfront/earthquake-idaho-montana-utah/2020/04/01/id/960854/,"

Wednesday, 01 April 2020 07:04 AM EDT

 A large earthquake struck north of Boise Tuesday evening, with people across a large area reporting shaking. The U.S. Geological Survey reports the magnitude 6.5 temblor struck just before 6 p.m. It was centered 73 miles (118 kilometers) northeast of Meridian, near the rural mountain town of Stanley. There were no immediate reports of damage or injuries. More than 2 million live in the region that could feel the Idaho quake, according to the USGS, with reports of shaking coming in from as far away as Helena, Montana, and Salt Lake City, Utah. Marcus Smith, an emergency room health unit coordinator at St. Luke's Wood River Medical Center, said the hospital, about 65 miles (104 kilometers) south of the epicenter, shook but the quake didn't interfere with the treatment of any patients. The hospital in Blaine County is on the front line of Idaho's coronavirus outbreak, in a region with the nation's highest per-capita rates of known COVID-19 cases outside of New York City and its surrounding counties. ""It felt like a wave going through the ground, so I knew right away what it was. It just felt like waves going through the ground,"" he said. The earthquake added stress during an already tense time for the region, but Smith said everything seemed fine, for now. ""Until the next one, I guess,"" Smith said. ""I mean, that's what we do. We're all good."" Brett Woolley, the owner of Bridge Street Grill in Stanley, said he heard the earthquake coming before he felt it. ""I heard the roar, and at first it sounded like the wind but then the roar was tremendous,"" Woolley said about 10 minutes after the earthquake. ""The whole house was rattling, and I started to panic. I'm sitting here perfectly still and the water next to me is still vibrating."" Dr. Lucy Jones, a seismologist at Caltech and the founder of the Dr. Lucy Jones Center for Science and Seismology, said the Idaho region has an earthquake of about this size every 30 or 40 years. The most recent one, a magnitude 7.0 earthquake near Borah Peak in 1983, killed two children in Challis and caused an estimated $12.5 million in property damage across Challis and Mackay. That quake was along what scientists call a ""normal fault,"" with the quake causing vertical movement, she said. Tuesday's quake appeared to be on an unmapped ""strike-slip fault,"" causing mostly horizontal movement along the fault line. ""This is one that wasn't obvious enough to be mapped before now,"" Jones said. Unmapped faults of this size are rarer in highly populated areas like California, she said, but in sparsely populated and remote regions like central Idaho they're less likely to cause damage and less likely to be a focus of geologists and seismologists. Residents in the region will likely continue to feel aftershocks, she said. The area had already recorded five aftershocks within the first hours after the 6.5 earthquake. ""An aftershock is just an earthquake, but it happens at a time that doesn't surprise us,"" she said. ""They do every bit as much damage."" People in an earthquake should drop to the floor and cover their heads with their arms, she said. ""Get to the floor before the earthquake throws you there, and if you have a table nearby, get under it and hold onto it,"" Jones said. ""Running in an earthquake is incredibly dangerous — people die from running in an earthquake. Just get down and try to cover."" 
                    © Copyright 2023 The Associated Press. All rights reserved. This material may not be published, broadcast, rewritten or redistributed.
                 Receive breaking news and original analysis - sent right to your inbox. Newsmax, Moneynews, Newsmax Health, and Independent. American. are registered trademarks of Newsmax Media, Inc. Newsmax TV, and Newsmax World are trademarks of Newsmax Media, Inc.","The earthquake added stress during an already tense time for the region, but Smith said everything seemed fine, for now.
We're all good."" Brett Woolley, the owner of Bridge Street Grill in Stanley, said he heard the earthquake coming before he felt it.
""I heard the roar, and at first it sounded like the wind but then the roar was tremendous,"" Woolley said about 10 minutes after the earthquake.
I'm sitting here perfectly still and the water next to me is still vibrating."" Dr. Lucy Jones, a seismologist at Caltech and the founder of the Dr. Lucy Jones Center for Science and Seismology, said the Idaho region has an earthquake of about this size every 30 or 40 years.
Unmapped faults of this size are rarer in highly populated areas like California, she said, but in sparsely populated and remote regions like central Idaho they're less likely to cause damage and less likely to be a focus of geologists and seismologists.
""An aftershock is just an earthquake, but it happens at a time that doesn't surprise us,"" she said.
""They do every bit as much damage."" People in an earthquake should drop to the floor and cover their heads with their arms, she said.",California,38.2969,-76.4949
107,Petrolia earthquake: 5.2 magnitude quake strikes off Northern California coast,2020-03-18 22:52 UTC,https://abc7news.com/weather/petrolia-earthquake-52-magnitude-quake-strikes-off-northern-california-coast-near-humboldt-county/6025776/,"WATCH LIVE If you haven't put together an earthquake kit for your house yet, it's time to get going. HUMBOLDT COUNTY, Calif. (KGO) -- A large earthquake struck off the coast of Petrolia, a community in Humboldt County, in Northern California USGS reports.  There is no tsunami threat at this time. Stay with ABC7 News for the latest details on this developing story. Google 'committed' to massive complex in downtown San Jose Bay Area mom accused in teen party scandal called a 'predator' Thieves hit fire-damaged SF apartment 2 days in a row","(KGO) -- A large earthquake struck off the coast of Petrolia, a community in Humboldt County, in Northern California USGS reports.",Petrolia,34.0131,-98.2313
167,Deadly Earthquake Strikes Southwest China,2020-05-19 05:26 UTC,https://www.voanews.com/east-asia-pacific/deadly-earthquake-strikes-southwest-china,"


Print

 At least four people are dead and 23 others injured after a strong earthquake struck southwest China late Monday.  Geologists at the China Earthquake Networks Center said a 5.0-magnitude earthquake struck in Qiaojia county in Yunnan province.  China is prone to earthquakes, especially in its mountainous western and southwestern regions. One of the worst disasters of its kind occurred in 2008, when nearly 90,000 were killed when a strong earthquake struck Sichuan province.  ",At least four people are dead and 23 others injured after a strong earthquake struck southwest China late Monday.,China,30.0522,-94.3331
168,Tonopah earthquake raises questions of seismic safety in Las Vegas valley,2020-05-16 00:34 UTC,https://www.8newsnow.com/news/local-news/tonopah-earthquake-raises-questions-of-seismic-safety-in-las-vegas-valley/,"KLAS Please enter a search term. Please enter a search term.       LAS VEGAS (KLAS) — The 6.5-magnitude Tonopah earthquake was felt by many here in southern Nevada. It’s now raising questions if a similar-sized quake could rock the valley anytime soon. No damage has been reported in Las Vegas, but many people across southern Nevada felt the quake. There are about a half dozen active faults across the valley, including along Decatur Boulevard. You can tell that the ground is uneven in the area. Below is a map of some of the other fault lines. Nevada is the nation’s third-most seismically active state, behind only California and Alaska. Friday morning’s earthquake outside Tonopah is the largest in the region since another 6.8 magnitude quake nearly 70 years ago, in 1954. That’s according to the Nevada Division of Emergency Management. The last major quake with the epicenter in Nevada was a 6.0 magnitude quake in the small town of Wells in 2008. Experts anticipate that a 6.0 to 6.5-magnitude earthquake could happen in the Las Vegas valley. They say we need to be prepared. “I think it can be considered an indicator that we need to be prepared for earthquakes in our region,” said Wanda Taylor, UNLV Geoscience Professor. “That it’s not in a too populated area, it caused some damage to the highway and things like that, but had it been right under a town or something, it could have caused a lot more damage.” One woman in Pahrump says she was taken by surprise. “I was having a really good dream and then all of a sudden, my bed started shaking, and it was going back and forth, back and forth,” said Barbara Cates. “I was getting scared. I didn’t know what it was and I woke up and it was still moving.” Experts say an earthquake in Las Vegas could cause damage to infrastructure, but they point out that building codes in Clark County have been updated to increase seismic safety. In terms of how to prepare, you can bolt taller furniture to the ground and also have a three-day supply of things like water and medication. Copyright 2023 Nexstar Media Inc. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed. Our expert shares tips for effectively and efficiently cleaning kids’ bedrooms and her top picks for products that help make children’s items cleaner and safer. Living an environmentally friendly lifestyle can be difficult when you can’t tell if a product is really green. Learn more here about how to avoid greenwashing. You should spend some time finding the perfect guinea pig cage and making sure it’s appropriate for your pets.","LAS VEGAS (KLAS) — The 6.5-magnitude Tonopah earthquake was felt by many here in southern Nevada.
No damage has been reported in Las Vegas, but many people across southern Nevada felt the quake.
Experts anticipate that a 6.0 to 6.5-magnitude earthquake could happen in the Las Vegas valley.
“That it’s not in a too populated area, it caused some damage to the highway and things like that, but had it been right under a town or something, it could have caused a lot more damage.” One woman in Pahrump says she was taken by surprise.
I didn’t know what it was and I woke up and it was still moving.” Experts say an earthquake in Las Vegas could cause damage to infrastructure, but they point out that building codes in Clark County have been updated to increase seismic safety.",Las Vegas,36.2333,-115.2654
169,Officials: Small earthquake reported in South Carolina,2020-04-07 17:19 UTC,https://www.wjcl.com/article/officials-small-earthquake-reported-in-south-carolina/32068884,"Earthquake reported in Lesslie, South Carolina Earthquake reported in Lesslie, South Carolina The latest breaking updates, delivered straight to your email inbox. Earthquake reported in Lesslie, South Carolina  A small earthquake was reported Monday in South Carolina, according to the  United States Geological Survey.  The 2.3 magnitude earthquake was reported about 3 p.m. in Lesslie, South Carolina which is about 9 miles from Rock Hill.  There are no reports of any damage.  Since 1776 or perhaps even earlier, people living inland in North and South Carolina and in adjacent parts of Georgia and Tennessee have felt small earthquakes and suffered damage from infrequent larger ones. The largest earthquake in the area -- a magnitude 5.1 -- occurred in 1916. Moderately damaging earthquakes strike the inland Carolinas every few decades, and smaller earthquakes are felt about once each year or two.  Hearst Television participates in various affiliate marketing programs, which means we may get paid commissions on editorially chosen products purchased through our links to retailer sites.","The 2.3 magnitude earthquake was reported about 3 p.m. in Lesslie, South Carolina which is about 9 miles from Rock Hill.",Rock Hill,34.9415,-81.0241
172,'I heard the roar': Big earthquake hits Idaho,2020-04-01 02:52 UTC,https://www.bostonglobe.com/2020/04/01/nation/i-heard-roar-big-earthquake-hits-idaho/,"BOISE, Idaho — A large earthquake struck north of Boise Tuesday evening, with people across a large area reporting shaking. The U.S. Geological Survey reports the magnitude 6.5 temblor struck just before 6 p.m. It was centered 73 miles (118 kilometers) northeast of Meridian, near the rural mountain town of Stanley. There were no immediate reports of damage or injuries. More than 2 million live in the region that could feel the Idaho quake, according to the USGS, with reports of shaking coming in from as far away as Helena, Montana, and Salt Lake City, Utah. Marcus Smith, an emergency room health unit coordinator at St. Luke's Wood River Medical Center, said the hospital, about 65 miles (104 kilometers) south of the epicenter, shook but the quake didn't interfere with the treatment of any patients. The hospital in Blaine County is on the front line of Idaho's coronavirus outbreak, in a region with the nation's highest per-capita rates of known COVID-19 cases outside of New York City and its surrounding counties. “It felt like a wave going through the ground, so I knew right away what it was. It just felt like waves going through the ground,” he said. Advertisement The earthquake added stress during an already tense time for the region, but Smith said everything seemed fine, for now. “Until the next one, I guess,” Smith said. “I mean, that’s what we do. We’re all good.” Brett Woolley, the owner of Bridge Street Grill in Stanley, said he heard the earthquake coming before he felt it. “I heard the roar, and at first it sounded like the wind but then the roar was tremendous,” Woolley said about 10 minutes after the earthquake. “The whole house was rattling, and I started to panic. I'm sitting here perfectly still and the water next to me is still vibrating.” Advertisement Dr. Lucy Jones, a seismologist at Caltech and the founder of the Dr. Lucy Jones Center for Science and Seismology, said the Idaho region has an earthquake of about this size every 30 or 40 years. The most recent one, a magnitude 7.0 earthquake near Borah Peak in 1983, killed two children in Challis and caused an estimated $12.5 million in property damage across Challis and Mackay. That quake was along what scientists call a “normal fault,” with the quake causing vertical movement, she said. Tuesday's quake appeared to be on an unmapped “strike-slip fault,"" causing mostly horizontal movement along the fault line. “This is one that wasn't obvious enough to be mapped before now,” Jones said. Unmapped faults of this size are rarer in highly populated areas like California, she said, but in sparsely populated and remote regions like central Idaho they're less likely to cause damage and less likely to be a focus of geologists and seismologists. Residents in the region will likely continue to feel aftershocks, she said. The area had already recorded five aftershocks within the first hours after the 6.5 earthquake. “An aftershock is just an earthquake, but it happens at a time that doesn't surprise us,” she said. “They do every bit as much damage.” People in an earthquake should drop to the floor and cover their heads with their arms, she said. “Get to the floor before the earthquake throws you there, and if you have a table nearby, get under it and hold onto it,"" Jones said. “Running in an earthquake is incredibly dangerous — people die from running in an earthquake. Just get down and try to cover.” Advertisement ___ This story has been corrected to show the temblor struck just before 6 p.m. ___ Associated Press writer Lisa Baumann in Seattle contributed to this report. Digital Access Home Delivery Gift Subscriptions Log In Manage My Account Customer Service Delivery Issues Feedback Help & FAQs Staff List Advertise Newsletters View the ePaper Order Back Issues News in Education Search the Archives Privacy Policy Terms of Service Terms of Purchase Work at Boston Globe Media","We’re all good.” Brett Woolley, the owner of Bridge Street Grill in Stanley, said he heard the earthquake coming before he felt it.
“I heard the roar, and at first it sounded like the wind but then the roar was tremendous,” Woolley said about 10 minutes after the earthquake.
I'm sitting here perfectly still and the water next to me is still vibrating.” Advertisement Dr. Lucy Jones, a seismologist at Caltech and the founder of the Dr. Lucy Jones Center for Science and Seismology, said the Idaho region has an earthquake of about this size every 30 or 40 years.
“An aftershock is just an earthquake, but it happens at a time that doesn't surprise us,” she said.
“They do every bit as much damage.” People in an earthquake should drop to the floor and cover their heads with their arms, she said.",Stanley,35.3552,-81.0938
255,5.8 magnitude earthquake in western Nevada felt in Bay Area,2020-05-15 11:49 UTC,https://abc7news.com/58-magnitude-earthquake-in-western-nevada-felt-in-bay-area/6185016/,"WATCH LIVE A 6.5 magnitude earthquake struck in western Nevada was felt across the Bay Area Friday morning. TONOPAH, Nev. (KGO) -- A 6.5 magnitude earthquake in western Nevada has been felt across parts of the Bay Area.  The USGS also reported several aftershocks in the western Nevada area, including a 5.1 temblor and several others measuring between 4.0 and 5.0. The quake struck with 30 million pounds of explosive energy at a depth of about 4.7 miles in an area of hard earth -- which created conditions for it to be felt hundreds of miles away in the Bay Area. Temblors of this strength only happen about 120 times a year. People in California and Salt Lake City, Utah tweeted that they felt the quake. It's unclear if the quake caused any damage or if anyone was injured. Go here for the latest news, stories, and videos about earthquakes. Google 'committed' to massive complex in downtown San Jose Bay Area mom accused in teen party scandal called a 'predator' Thieves hit fire-damaged SF apartment 2 days in a row","WATCH LIVE A 6.5 magnitude earthquake struck in western Nevada was felt across the Bay Area Friday morning.
(KGO) -- A 6.5 magnitude earthquake in western Nevada has been felt across parts of the Bay Area.",Nevada,37.8445,-94.3492
258,4.9-magnitude earthquake strikes near Anza,2020-04-04 02:03 UTC,https://fox5sandiego.com/news/earthquakes/4-9-magnitude-earthquake-strikes-near-anza/,"FOX 5 San Diego Please enter a search term. Please enter a search term.       ANZA, Calif. — An earthquake with a preliminary magnitude of 4.9 struck near Anza Friday evening and was followed by several aftershocks, according to the United States Geological Survey.  The location is near or possibly on the San Jacinto fault, which has had many quakes with magnitudes around 5.0 in recent decades, seismologist Lucy Jones said on Twitter.  At least eight aftershocks followed the larger quake and ranged in magnitude from 2.5 to 3.6, according to USGS. San Diego Police Department said on Twitter that they had not received any reports of damage. 
Submit 


 Δ Copyright 2023 Nexstar Media Inc. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed. ","FOX 5 San Diego Please enter a search term.
— An earthquake with a preliminary magnitude of 4.9 struck near Anza Friday evening and was followed by several aftershocks, according to the United States Geological Survey.",Anza,33.5678,-116.6966
